"","...1","...2","...3","...4"
"180",NA,"0312410. (Bebek İç Çamaşırı)","2022","35.297199999999997"
"181",NA,"0313001. (Örgü Yünü)","2022","154.5857"
"182",NA,"0313006. (Kravat)","2022","74.598299999999995"
"183",NA,"0313012. (Kemer)","2022","109.9096"
"184",NA,"0313014. (Eşarp)","2022","146.6661"
"185",NA,"0314005. (Giysi Tamir Ücretleri)","2022","15.0313"
"186",NA,"0314007. (Kuru Temizleme Ücreti)","2022","28.7881"
"187",NA,"0321101. (Ayakkabı (Erkek İçin))","2022","343.59010000000001"
"188",NA,"0321102. (Bot (Erkek İçin))","2022","0"
"189",NA,"0321104. (Spor Ayakkabısı (Erkek İçin))","2022","490.8954"
"190",NA,"0321201. (Ayakkabı (Kadın İçin))","2022","241.85830000000001"
"191",NA,"0321202. (Bot (Kadın İçin))","2022","0"
"192",NA,"0321204. (Spor Ayakkabısı (Kadın İçin))","2022","436.81779999999998"
"193",NA,"0321206. (Terlik (Kadın İçin))","2022","92.688199999999995"
"194",NA,"0321301. (Ayakkabı (Çocuk İçin))","2022","124.8618"
"195",NA,"0321302. (Bot (Çocuk İçin))","2022","0"
"196",NA,"0321304. (Spor Ayakkabısı (Çocuk İçin))","2022","249.5395"
"197",NA,"0322001. (Ayakkabı Tamiri (Erkek))","2022","25.910699999999999"
"198",NA,"0322002. (Ayakkabı Tamiri (Kadın))","2022","19.73"
"199",NA,"0410001. (Kiracı Tarafından Ödenen Gerçek Kira)","2022","1408.7336"
"200",NA,"0431001. (Badana Ve Boya Malzemeleri)","2022","69.953999999999994"
"201",NA,"0431002. (Yer Ve Duvar Döşemesi (Fayans))","2022","129.13380000000001"
"202",NA,"0431006. (Pencere (Pvc))","2022","128.21279999999999"
"203",NA,"0431008. (Sıhhi Techizat Malzemeleri (Musluk))","2022","466.01179999999999"
"204",NA,"0441001. (Su Faturası)","2022","8.5911000000000008"
"205",NA,"0451001. (Elektrik Ücreti)","2022","1.3371999999999999"
"206",NA,"0452101. (Doğal Gaz)","2022","3.7187999999999999"
"207",NA,"0452102. (Doğal Gaz Abonman Ücreti)","2022","1377.3506"
"208",NA,"0452201. (Tüpgaz)","2022","292.86590000000001"
"209",NA,"0454001. (Kömür Ücreti)","2022","4164.3361000000004"
"210",NA,"0454002. (Odun Ücreti)","2022","1655.617"
"211",NA,"0511102. (Tek Masa)","2022","1797.3534999999999"
"212",NA,"0511105. (Tek Sandalye)","2022","633.77120000000002"
"213",NA,"0511201. (Yatak Odası Takımı)","2022","18678.127700000001"
"214",NA,"0511204. (Yatak (Tek Kişilik))","2022","1997.1059"
"215",NA,"0511205. (Yatak (Çift Kişilik))","2022","3177.5612999999998"
"216",NA,"0511207. (Yatak Bazası)","2022","3601.9937"
"217",NA,"0511208. (Genç Odası Takımı)","2022","9983.5413000000008"
"218",NA,"0511301. (Oturma Odası Takımı)","2022","15733.0422"
"219",NA,"0511302. (Yemek Odası Takımı)","2022","13574.3578"
"220",NA,"0511307. (Sehpa)","2022","1249.5499"
"221",NA,"0512001. (Halı)","2022","484.82990000000001"
"222",NA,"0520001. (Perde)","2022","56.080500000000001"
"223",NA,"0520002. (Perde Hazır)","2022","127.81950000000001"
"224",NA,"0520003. (Tül)","2022","100.80589999999999"
"225",NA,"0520007. (Yatak Örtüsü)","2022","482.90410000000003"
"226",NA,"0520010. (Yorgan)","2022","429.34160000000003"
"227",NA,"0520012. (Battaniye)","2022","288.8048"
"228",NA,"0520013. (Pike)","2022","398.08429999999998"
"229",NA,"0520014. (Nevresim Takımı)","2022","453.01209999999998"
"230",NA,"0520015. (Yastık)","2022","102.2026"
"231",NA,"0520025. (Havlu)","2022","63.903100000000002"
"232",NA,"0531102. (No-Frost Buzdolabı)","2022","9569.7836000000007"
"233",NA,"0531104. (Derin Dondurucular)","2022","6285.9974000000002"
"234",NA,"0531201. (Çamaşır Makinesi)","2022","6973.1882999999998"
"235",NA,"0531202. (Bulaşık Makinesi)","2022","7119.95"
"236",NA,"0531301. (Fırın)","2022","4328.1823999999997"
"237",NA,"0531302. (Set Üstü Ocak)","2022","2538.5779000000002"
"238",NA,"0531303. (Fırınlı Ocaklar)","2022","3933.4634999999998"
"239",NA,"0531401. (Klima)","2022","10038.704900000001"
"240",NA,"0531403. (Soba)","2022","975.44489999999996"
"241",NA,"0531406. (Kombi)","2022","10010.558300000001"
"242",NA,"0531409. (Davlumbaz)","2022","2187.8303999999998"
"243",NA,"0531501. (Elektrikli Süpürge)","2022","2336.58"
"244",NA,"0532001. (Elektrikli Kesici Vb. Aletler (Blender))","2022","875.15650000000005"
"245",NA,"0532002. (Elektrikli Küçük Ev Aletleri (Tost Makinası))","2022","977.21050000000002"
"246",NA,"0532003. (Sıcak İçecek Makinaları (Su Isıtıcısı))","2022","865.59649999999999"
"247",NA,"0532004. (Ütü)","2022","1072.9123"
"248",NA,"0533001. (Ev Aletlerinin Tamiri (Malzeme Ve İşçilik))","2022","405.5883"
"249",NA,"0540102. (Cam Ev Eşyası)","2022","8.8413000000000004"
"250",NA,"0540104. (Porselen Ev Eşyası)","2022","3820.9511000000002"
"251",NA,"0540201. (Çelik Çatal, Kaşık, Bıçak Vb.)","2022","1807.5147999999999"
"252",NA,"0540301. (Çelik Mutfak Eşyaları)","2022","414.31310000000002"
"253",NA,"0540302. (Teflon Mutfak Eşyaları)","2022","197.48220000000001"
"254",NA,"0540304. (Plastik Ev-Mutfak Eşyaları)","2022","14.914999999999999"
"255",NA,"0540312. (Diğer Elektriksiz Ev Aletleri)","2022","260.29309999999998"
"256",NA,"0552103. (Pil)","2022","4.8617999999999997"
"257",NA,"0552104. (Ampul)","2022","17.6616"
"258",NA,"0552203. (Kapı Aksesuarlar (Anahtar, Kilit))","2022","94.954899999999995"
"259",NA,"0552204. (Soba Aksesuar Ve Malzemeleri)","2022","44.1325"
"260",NA,"0561101. (Çamaşır İçin Temizlik Ve Bakım Ürünleri)","2022","13.958600000000001"
"261",NA,"0561102. (Bulaşık İçin Temizlik Ve Bakım Ürünleri)","2022","55.193600000000004"
"262",NA,"0561103. (Hijyenik Zeminler İçin Temizlik Ve Bakım Ürünleri)","2022","16.700399999999998"
"263",NA,"0561201. (Her Türlü Ev Temizlik Aletleri)","2022","41.312199999999997"
"264",NA,"0561202. (Bulaşık Bezleri)","2022","2.0880000000000001"
"265",NA,"0561203. (Saklama Ve Muhafaza Malzemeleri)","2022","7.7690000000000001"
"266",NA,"0561204. (Kağıt Sofra Malzemeleri)","2022","4.9097"
"267",NA,"0562104. (Gündelikçi Ücreti)","2022","282.75240000000002"
"268",NA,"0562202. (Halı Ve Kilim Temizleme)","2022","11.8629"
"269",NA,"0611001. (İlaçlar)","2022","32.445099999999996"
"270",NA,"0612002. (Diğer Sağlık Ürünleri (Derece))","2022","27.0581"
"271",NA,"0613101. (Numaralı Gözlük Cam Ve Çerçevesi)","2022","400.64830000000001"
"272",NA,"0613102. (Kontakt Lens)","2022","75.314499999999995"
"273",NA,"0613201. (Sağlık İle İlgili Araç Gereçler (Tansiyon Aleti))","2022","450.673"
"274",NA,"0621201. (Uzman Doktor Muayene Ücreti)","2022","28.220400000000001"
"275",NA,"0622001. (Diş Çekme Ücreti)","2022","273.7475"
"276",NA,"0622002. (Diş Dolgu Ücreti)","2022","439.41660000000002"
"277",NA,"0623101. (Röntgen Ücreti)","2022","104.741"
"278",NA,"0623102. (Ultrason Ücreti)","2022","293.64789999999999"
"279",NA,"0623105. (Emar Ücreti)","2022","702.14620000000002"
"280",NA,"0623108. (Labaratuvar Tahlil Ücretleri)","2022","39.4193"
"281",NA,"0630001. (Hastane Yatak Ücreti)","2022","398.44569999999999"
"282",NA,"0630002. (Ameliyat Ücreti)","2022","3703.7597000000001"
"283",NA,"0630003. (Doğum Ücreti (Normal Doğum))","2022","4509.5519000000004"
"284",NA,"0630004. (Doğum Ücreti (Sezaryen))","2022","4457.4070000000002"
"285",NA,"0711101. (Otomobil (Dizel))","2022","715453.53899999999"
"286",NA,"0711301. (Otomobil (Benzinli))","2022","523208.6692"
"287",NA,"0712001. (Motosiklet)","2022","27645.292000000001"
"288",NA,"0713001. (Bisiklet)","2022","2629.9395"
"289",NA,"0721001. (Araç Yedek Parça Ve Ekipmanları)","2022","917.80619999999999"
"290",NA,"0721003. (Araba İle İlgili, Temizlik Ve Bakım Ürünleri)","2022","66.498800000000003"
"291",NA,"0722001. (Benzin)","2022","19.1755"
"292",NA,"0722002. (Lpg Dolum Ücreti)","2022","11.4589"
"293",NA,"0722003. (Mazot)","2022","21.499099999999999"
"294",NA,"0722004. (Motor Yağları)","2022","97.696600000000004"
"295",NA,"0723001. (Araçların Tamirine Ve Bakımına Ödenen Ücretler (Malzeme Ve İşçilik))","2022","721.16819999999996"
"296",NA,"0723002. (Araçların Tamirine Ve Bakımına Ödenen Ücretler (İşçilik))","2022","217.1078"
"297",NA,"0724001. (Araba Kiralama Ücreti)","2022","310.94729999999998"
"298",NA,"0724005. (Otopark Ücreti)","2022","12.846"
"299",NA,"0724006. (Otoban Geçiş Ücreti)","2022","25.255800000000001"
"300",NA,"0724008. (Köprü Geçiş Ücreti)","2022","36.507899999999999"
"301",NA,"0724009. (Şoför Eğitim Kurs Ücreti)","2022","54.974699999999999"
"302",NA,"0731101. (Tren Ücreti Banliyo)","2022","6.3935000000000004"
"303",NA,"0731102. (Metro Ücreti)","2022","6.2096999999999998"
"304",NA,"0731104. (Tramvay Ücreti)","2022","4.7760999999999996"
"305",NA,"0731201. (Tren Ücreti Şehirlerarası)","2022","121.7612"
"306",NA,"0732101. (Belediye Otobüs Ücreti)","2022","5.3231000000000002"
"307",NA,"0732104. (Dolmuş Ücreti)","2022","4.8769"
"308",NA,"0732105. (Servis Ücreti)","2022","376.28050000000002"
"309",NA,"0732201. (Taksi Ücreti)","2022","21.835999999999999"
"310",NA,"0732301. (Şehirlerarası Otobüs Ücreti)","2022","272.68990000000002"
"311",NA,"0733001. (Uçak Bileti Ücreti)","2022","3841.6709000000001"
"312",NA,"0734001. (Vapur Ücreti Şehir Hatları)","2022","13.501200000000001"
"313",NA,"0736002. (Kargo Gönderme Ücreti)","2022","37.369900000000001"
"314",NA,"0736003. (Nakliye Ücreti (Şehiriçi))","2022","1993.4621"
"315",NA,"0810002. (Ptt Koli Gönderme Ücreti)","2022","32"
"316",NA,"0820001. (Telefon Ekipmanları (Telsiz Telefon, Cep Telefonu))","2022","7829.2704999999996"
"317",NA,"0820002. (Telefon Yedek Parçaları (Sım Kart, Batarya))","2022","169.45930000000001"
"318",NA,"0820003. (Telefon Onarımı)","2022","108.5834"
"319",NA,"0830001. (Telefon Görüşme Ücreti)","2022","32.18"
"320",NA,"0830004. (Cep Telefonu Görüşme Ücreti)","2022","81.817599999999999"
"321",NA,"0830008. (Telefon Aboneliğine İlişkin Hizmetler)","2022","10"
"322",NA,"0830009. (İnternet Ücreti)","2022","81.505300000000005"
"323",NA,"0911101. (Televizyon)","2022","10246.7325"
"324",NA,"0913001. (Bilgisayar)","2022","10326.8339"
"325",NA,"0913008. (Bilgisayar Ekipmanları)","2022","74.039400000000001"
"326",NA,"0913011. (Tablet (Bilgisayar))","2022","3758.0408000000002"
"327",NA,"0915001. (Görsel İşitsel Veri İşleme Araçları Tamiri (Malzeme Ve İşçilik))","2022","95.982799999999997"
"328",NA,"0915002. (Görsel, İşitsel Veri İşleme Araçları (İşçilik Ücreti))","2022","242.4025"
"329",NA,"0922001. (Müzik Aletleri (Flüt))","2022","169.60509999999999"
"330",NA,"0931003. (Oyuncak)","2022","42.672899999999998"
"331",NA,"0931006. (Çocuk Oyuncakları Diğer (Oyun Konsolu))","2022","420.36709999999999"
"332",NA,"0932002. (Sporla İlgili Aletler (Futbol Topu))","2022","166.68360000000001"
"333",NA,"0934002. (Evde Beslenen Hayvanlar İçin Gıda Harcamaları)","2022","53.421999999999997"
"334",NA,"0935001. (Veteriner Ücreti)","2022","165.2852"
"335",NA,"0941001. (Spor Müsabakalarına Giriş Ücreti)","2022","448.2287"
"336",NA,"0941002. (Sportif Faaliyetler İçin Yapılan Ödemeler)","2022","250.56800000000001"
"337",NA,"0942105. (Resim Çektirme Ücreti)","2022","6.88"
"338",NA,"0942203. (Kablo Özel Yayın Hizmetleri)","2022","67.825000000000003"
"339",NA,"0942204. (Sinema)","2022","37.805"
"340",NA,"0942205. (Tiyatro)","2022","77.343500000000006"
"341",NA,"0942206. (Diğer Kültürel Faaliyetler (Internet Kafe))","2022","25.241900000000001"
"342",NA,"0943000. (Şans Oyunları)","2022","2.6274000000000002"
"343",NA,"0951002. (Çocuk Kitapları)","2022","28.240100000000002"
"344",NA,"0951003. (Okul Kitapları)","2022","96.849500000000006"
"345",NA,"0951004. (Diğer Kitaplar (Edebi Kitaplar))","2022","42.294600000000003"
